timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603295004146,290,create a list,201,,Spike test 1-1001,text,true,,337,278,1,1,http://localhost:9094/tdLists/create,287,0,31
1603295004507,0,Debug Sampler,200,OK,Spike test 1-1001,text,true,,288,0,1,1,null,0,0,0
1603295009510,17,Create a task,201,,Spike test 1-1001,text,true,,320,318,1,1,http://localhost:9094/tasks/create,17,0,0
1603295009528,0,Debug Sampler,200,OK,Spike test 1-1001,text,true,,297,0,1,1,null,0,0,0
1603295011030,118,Read list,200,,Spike test 1-1001,text,true,,397,186,1,1,http://localhost:9094/tdLists/read,118,0,0
1603295012651,23,Read tasks,200,,Spike test 1-1001,text,true,,322,184,1,1,http://localhost:9094/tasks/read,23,0,0
1603295017675,28,Update list,202,,Spike test 1-1001,text,true,,338,284,1,1,http://localhost:9094/tdLists/update/1,28,0,0
